Bleu,Vert,Rouge,Valeur
220,231,138,Chlore_04
220,228,131,Chlore_04
218,226,129,Chlore_04
219,227,130,Chlore_04
221,229,132,Chlore_04
216,224,127,Chlore_04
217,225,128,Chlore_04
213,225,127,Chlore_04
211,222,129,Chlore_04
214,226,128,Chlore_04
216,228,130,Chlore_04
215,227,129,Chlore_04
218,230,132,Chlore_04
219,227,130,Chlore_04
218,226,129,Chlore_04
212,220,123,Chlore_04
215,223,126,Chlore_04
213,225,127,Chlore_04
209,221,123,Chlore_04
217,229,131,Chlore_04
217,225,128,Chlore_04
215,227,129,Chlore_04
217,229,131,Chlore_04
215,223,126,Chlore_04
214,222,125,Chlore_04
212,220,123,Chlore_04
215,226,133,Chlore_04
213,224,131,Chlore_04
211,222,129,Chlore_04
221,228,136,Chlore_04
218,229,136,Chlore_04
214,225,132,Chlore_04
212,220,123,Chlore_04
212,223,130,Chlore_04
216,223,131,Chlore_04
217,228,135,Chlore_04
214,225,132,Chlore_04
217,228,135,Chlore_04
211,222,129,Chlore_04
216,227,134,Chlore_04
216,227,134,Chlore_04
218,229,136,Chlore_04
216,224,127,Chlore_04
217,225,128,Chlore_04
220,227,135,Chlore_04
214,225,132,Chlore_04
214,226,128,Chlore_04
218,225,133,Chlore_04
216,224,127,Chlore_04
220,227,135,Chlore_04
214,226,128,Chlore_04
219,227,130,Chlore_04
216,224,127,Chlore_04
215,222,130,Chlore_04
209,220,127,Chlore_04
211,223,125,Chlore_04
214,226,128,Chlore_04
217,228,135,Chlore_04
216,227,134,Chlore_04
214,225,132,Chlore_04
216,227,134,Chlore_04
216,224,127,Chlore_04
213,220,128,Chlore_04
208,216,119,Chlore_04
211,219,122,Chlore_04
208,215,123,Chlore_04
207,218,125,Chlore_04
209,220,127,Chlore_04
207,218,125,Chlore_04
211,222,129,Chlore_04
218,229,136,Chlore_04
215,226,133,Chlore_04
216,223,131,Chlore_04
208,216,119,Chlore_04
208,215,123,Chlore_04
211,218,126,Chlore_04
209,220,127,Chlore_04
213,224,131,Chlore_04
215,227,129,Chlore_04
218,226,129,Chlore_04
212,220,123,Chlore_04
217,224,132,Chlore_04
215,226,133,Chlore_04
